cost,SR,data,y,operation_time
tensor(1.),3.0571231842041016,"[0.6205646954477, 0.1075078817084, 0.2668785210699]",10.942876815795898,0.0001342296600341797
tensor(4.),3.0571231842041016,"[0.3063025437295, 0.7786068571731, 0.5327035477385]",6.3079962730407715,0.00010323524475097656
tensor(10.),3.0571231842041016,"[0.9746698988602, 0.3352977698669, 0.8018118236214]",7.905609130859375,8.58306884765625e-05
tensor(11.),3.0571231842041016,"[0.1610023630783, 0.5351785728708, 0.0051106689498]",8.132377624511719,9.703636169433594e-05
tensor(12.),3.0571231842041016,"[0.8721958417445, 0.8783688033, 0.188362441957]",4.483630657196045,8.893013000488281e-05
tensor(21.),3.0571231842041016,"[0.0624502915889, 0.2345525464043, 0.985197157599]",7.877727031707764,8.606910705566406e-05
tensor(26.),3.0571231842041016,"[0.7190951453522, 0.6818765876815, 0.7232843525708]",5.549908638000488,8.606910705566406e-05
tensor(28.),3.0571231842041016,"[0.4087235080078, 0.4466564254835, 0.4575851680711]",8.357730865478516,8.177757263183594e-05
tensor(30.),3.0571231842041016,"[0.9002573378384, 0.7314659999683, 0.3993627736345]",5.0943427085876465,8.606910705566406e-05
tensor(34.),3.0571231842041016,"[0.2139248736203, 0.4046362964436, 0.6648220643401]",9.78876781463623,8.106231689453125e-05
tensor(42.),3.0571231842041016,"[0.5045456467196, 0.9573199143633, 0.9342813016847]",4.754750728607178,8.320808410644531e-05
tensor(43.),1.4131584167480469,"[0.3188077984378, 0.1631707781926, 0.1372134573758]",12.586841583251953,8.392333984375e-05
tensor(44.),1.4131584167480469,"[0.6557947490364, 0.2503699520603, 0.0716247847304]",9.421010971069336,8.106231689453125e-05
tensor(51.),1.4131584167480469,"[0.4661663863808, 0.612539014779, 0.8685820456594]",6.669525146484375,8.988380432128906e-05
tensor(55.),1.4131584167480469,"[0.7528771581128, 0.0558404428884, 0.6065624235198]",10.579764366149902,8.702278137207031e-05
tensor(57.),1.4131584167480469,"[0.0626227082685, 0.8227068604901, 0.3409848306328]",4.077295303344727,0.00011324882507324219
tensor(59.),1.4131584167480469,"[0.7946113459766, 0.4343830505386, 0.3735214127228]",7.163824558258057,8.106231689453125e-05
tensor(62.),1.4131584167480469,"[0.1088734976947, 0.7027110969648, 0.5764540154487]",6.021079063415527,8.082389831542969e-05
tensor(68.),1.4131584167480469,"[0.6726838750765, 0.130371789448, 0.8381150877103]",10.602034568786621,8.392333984375e-05
tensor(69.),1.4131584167480469,"[0.4863514108583, 0.9910801770166, 0.1035738717765]",4.679169654846191,8.106231689453125e-05
tensor(70.),1.4131584167480469,"[0.5429506171495, 0.5797557579353, 0.1717182742432]",6.615265846252441,7.915496826171875e-05
tensor(78.),1.4131584167480469,"[0.3526961673051, 0.2841450003907, 0.9061411879957]",10.6804838180542,8.177757263183594e-05
tensor(82.),1.4131584167480469,"[0.9282290535048, 0.8524388363585, 0.6362928235903]",4.549370288848877,8.130073547363281e-05
tensor(84.),0.24178695678710938,"[0.2386006908491, 0.0270698005334, 0.4332496374846]",13.75821304321289,8.106231689453125e-05
tensor(87.),0.24178695678710938,"[0.7021745480597, 0.8123667025939, 0.4919679425657]",4.933634281158447,0.0001709461212158203
tensor(88.),0.24178695678710938,"[0.3026649292386, 0.0132288938869, 0.1555373173331]",13.341676712036133,0.00018978118896484375
tensor(90.),0.24178695678710938,"[0.3024130864849, 0.030762425154, 0.4301621441469]",13.343781471252441,9.512901306152344e-05
tensor(98.),0.24178695678710938,"[0.303686735052, 0.0060076053282, 0.9187755985973]",13.33311653137207,8.702278137207031e-05
tensor(106.),0.24178695678710938,"[0.3028905257918, 0.0027551643573, 0.9476521418128]",13.339790344238281,8.392333984375e-05
tensor(115.),0.24178695678710938,"[0.3034518477649, 0.0201826680207, 0.9807291380012]",13.335086822509766,8.606910705566406e-05
tensor(123.),0.24178695678710938,"[0.3025430287891, 0.0184601918974, 0.9160591233673]",13.342696189880371,8.296966552734375e-05
tensor(131.),0.24178695678710938,"[0.3025216793549, 0.0279303660136, 0.9534632524425]",13.342874526977539,8.392333984375e-05
tensor(134.),0.24178695678710938,"[0.303542623098, 0.0263409396117, 0.6009085040794]",13.334325790405273,8.296966552734375e-05
tensor(136.),0.24178695678710938,"[0.1908648596777, 0.0355815464487, 0.4592783307816]",13.725459098815918,0.00018596649169921875
tensor(138.),0.24178695678710938,"[0.1901096170848, 0.0356881992331, 0.4245300657778]",13.720727920532227,9.799003601074219e-05
tensor(141.),0.24178695678710938,"[0.1803880694798, 0.0369974087992, 0.5536404182119]",13.64438533782959,8.416175842285156e-05
tensor(144.),0.24178695678710938,"[0.1655099845658, 0.0357444858384, 0.4827128755107]",13.465306282043457,8.082389831542969e-05
tensor(146.),0.24178695678710938,"[0.0961145688049, 0.0375930503207, 0.4226546032947]",11.186348915100098,9.679794311523438e-05
tensor(148.),0.2357635498046875,"[0.198466044645, 0.0377952299819, 0.4220763689386]",13.764236450195312,7.891654968261719e-05
tensor(156.),0.2357635498046875,"[0.9523303071278, 0.7124592745207, 0.9279547752296]",5.156336307525635,8.893013000488281e-05
tensor(157.),0.2357635498046875,"[0.0785561216996, 0.7591923409066, 0.1729490327997]",4.880706787109375,0.00013017654418945312
tensor(158.),0.2357635498046875,"[0.8938875618845, 0.0828284906621, 0.288938513957]",10.271170616149902,0.00014090538024902344
tensor(159.),0.2357635498046875,"[0.1974329602934, 0.0380713522232, 0.2536528496448]",13.759871482849121,0.00020074844360351562
tensor(160.),0.23303604125976562,"[0.1991482609299, 0.0377944699123, 0.2311607832184]",13.766963958740234,0.00013113021850585938
tensor(162.),0.23303604125976562,"[0.198466044645, 0.0377952299819, 0.3076821728746]",13.764236450195312,0.00013899803161621094
tensor(164.),0.23303604125976562,"[0.1982339216883, 0.0379419328372, 0.3714874031939]",13.763276100158691,0.00011420249938964844
tensor(165.),0.23303604125976562,"[0.1975105104622, 0.0380557745399, 0.2405811344983]",13.760209083557129,9.226799011230469e-05
tensor(167.),0.22411632537841797,"[0.2016237828913, 0.0377426512844, 0.3647054490829]",13.775883674621582,7.915496826171875e-05
tensor(169.),0.20717620849609375,"[0.2084349598025, 0.037877507751, 0.3405939941057]",13.792823791503906,0.00010418891906738281
tensor(171.),0.20717620849609375,"[0.8002052623313, 0.3944223295987, 0.317425261944]",7.519576549530029,0.00013875961303710938
tensor(173.),0.20717620849609375,"[0.2282141984411, 0.0420283088888, 0.3998054888858]",13.787467002868652,0.00015687942504882812
tensor(182.),0.20717620849609375,"[0.1383116975877, 0.2134376004662, 0.9619020815987]",11.656892776489258,8.797645568847656e-05
tensor(184.),0.20717620849609375,"[0.2050962829226, 0.0424478750374, 0.4105136254162]",13.785789489746094,8.416175842285156e-05
tensor(186.),0.20717620849609375,"[0.2390502138581, 0.0420870321499, 0.4074989236024]",13.756503105163574,7.891654968261719e-05
tensor(188.),0.2042980194091797,"[0.2104199513609, 0.0423397264827, 0.40529977311]",13.79570198059082,8.106231689453125e-05
tensor(190.),0.2042980194091797,"[0.2412544472175, 0.0387021912282, 0.4097214417993]",13.748260498046875,0.0001087188720703125
tensor(192.),0.20330524444580078,"[0.2222858494562, 0.0402563752948, 0.4005422795358]",13.7966947555542,0.00010418891906738281
tensor(194.),0.20323848724365234,"[0.2219926732298, 0.0463778226588, 0.4050924728906]",13.796761512756348,0.00015401840209960938
tensor(196.),0.20149898529052734,"[0.2199529948185, 0.0447073377208, 0.4011564394084]",13.798501014709473,0.00012874603271484375
tensor(201.),0.20149898529052734,"[0.8804861529847, 0.1884029840138, 0.7331786504133]",9.589735984802246,0.00016307830810546875
tensor(203.),0.20149898529052734,"[0.2237907657255, 0.045320187841, 0.4036400153016]",13.794759750366211,9.512901306152344e-05
tensor(205.),0.20149898529052734,"[0.2205460702874, 0.0447386907022, 0.4045484344425]",13.79809856414795,8.296966552734375e-05
tensor(207.),0.20149898529052734,"[0.2217388496523, 0.0457280837379, 0.4113193479027]",13.79704761505127,8.606910705566406e-05
tensor(209.),0.20149898529052734,"[0.222520158799, 0.0453770196787, 0.4036570981329]",13.79627513885498,7.915496826171875e-05
tensor(211.),0.20149898529052734,"[0.2218779159492, 0.0444751263218, 0.3814406933706]",13.796978950500488,7.796287536621094e-05
tensor(213.),0.20149898529052734,"[0.219828006816, 0.0464843919388, 0.3882396349673]",13.798474311828613,0.00022101402282714844
tensor(215.),0.20143795013427734,"[0.2194849304109, 0.0478783036122, 0.3877162978962]",13.798562049865723,9.083747863769531e-05
tensor(217.),0.20065021514892578,"[0.2161544064619, 0.0472145273631, 0.3919419661043]",13.799349784851074,0.00011897087097167969
tensor(219.),0.20065021514892578,"[0.6194616203049, 0.7404318005068, 0.3034638771412]",5.427567005157471,0.00012803077697753906
tensor(221.),0.20065021514892578,"[0.2190136611018, 0.0463842125716, 0.4000843333591]",13.798907279968262,8.392333984375e-05
tensor(223.),0.20065021514892578,"[0.2191161464247, 0.0476287547995, 0.3878971164132]",13.79876708984375,8.106231689453125e-05
tensor(225.),0.20065021514892578,"[0.2182402268153, 0.0466495048915, 0.3846747441632]",13.799178123474121,7.796287536621094e-05
tensor(227.),0.20065021514892578,"[0.4441650635374, 0.8042313226782, 0.3809473758771]",5.611911296844482,7.605552673339844e-05
tensor(228.),0.20065021514892578,"[0.21129237461, 0.0483391789919, 0.2998116775282]",13.796393394470215,0.00022101402282714844
tensor(229.),0.20065021514892578,"[0.2121199710064, 0.0486428851899, 0.1347691295922]",13.797191619873047,9.489059448242188e-05
tensor(231.),0.20065021514892578,"[0.0804969983306, 0.0472145273631, 0.3941532084891]",10.245116233825684,8.296966552734375e-05
tensor(233.),0.20065021514892578,"[0.0616695403465, 0.0474336791758, 0.3956474442062]",8.875957489013672,7.796287536621094e-05
tensor(234.),0.20065021514892578,"[0.074115981912, 0.0471480208186, 0.2134690616738]",9.809558868408203,7.605552673339844e-05
tensor(239.),0.20065021514892578,"[0.592292111334, 0.1363145776389, 0.7377382675879]",10.89603328704834,8.296966552734375e-05
tensor(240.),0.20065021514892578,"[0.0182382888083, 0.046884138977, 0.2113674656432]",4.882360935211182,7.891654968261719e-05
tensor(241.),0.20065021514892578,"[0.4215470958324, 0.4934153356678, 0.138458638908]",7.836372375488281,7.796287536621094e-05
tensor(243.),0.20065021514892578,"[0.2173919204742, 0.0544069719777, 0.3962405849963]",13.798263549804688,0.00019025802612304688
tensor(245.),0.20065021514892578,"[0.2218209150104, 0.0537611403037, 0.3973518940429]",13.795955657958984,9.417533874511719e-05
tensor(250.),0.20065021514892578,"[0.2166163873548, 0.047870627977, 0.765195512131]",13.799321174621582,9.393692016601562e-05
tensor(253.),0.200592041015625,"[0.2173196669103, 0.0461653621187, 0.5164999276294]",13.799407958984375,0.0001392364501953125
tensor(259.),0.200592041015625,"[0.5195957295265, 0.148249198362, 0.827077115975]",11.191210746765137,9.393692016601562e-05
tensor(263.),0.200592041015625,"[0.7747757006187, 0.0929505220486, 0.6538944574216]",10.476032257080078,0.0001270771026611328
tensor(265.),0.200592041015625,"[0.2193323318919, 0.0545141308905, 0.3968141959821]",13.797609329223633,8.416175842285156e-05
tensor(266.),0.200592041015625,"[0.872199027335, 0.2080227772728, 0.2480907251514]",9.395068168640137,7.987022399902344e-05
tensor(268.),0.200592041015625,"[0.5730673894192, 0.254956326612, 0.3580827335471]",9.692766189575195,0.00019407272338867188
tensor(270.),0.200592041015625,"[0.1844277044912, 0.0477161800675, 0.4593618478542]",13.679320335388184,0.00021719932556152344
tensor(272.),0.200592041015625,"[0.1805948010438, 0.0476287547995, 0.4584019957429]",13.645962715148926,0.0001888275146484375
tensor(273.),0.200592041015625,"[0.4199720148817, 0.2364295830098, 0.1421510470427]",10.828730583190918,0.0001049041748046875
tensor(275.),0.200592041015625,"[0.1814684173104, 0.0476560292154, 0.4529536814858]",13.653983116149902,0.00011992454528808594
tensor(278.),0.200592041015625,"[0.310831963028, 0.575110104008, 0.5300097674867]",7.708993434906006,0.0001556873321533203
tensor(280.),0.200592041015625,"[0.186415333894, 0.0477465466815, 0.450607098828]",13.694784164428711,9.703636169433594e-05
tensor(282.),0.200592041015625,"[0.1853739376898, 0.0461653621187, 0.4536339821745]",13.686951637268066,0.000102996826171875
tensor(290.),0.200592041015625,"[0.216228154662, 0.0543855735565, 0.9428597194844]",13.798300743103027,0.00023508071899414062
tensor(299.),0.200592041015625,"[0.2164788517875, 0.054318955638, 0.9895404794474]",13.798331260681152,0.0001373291015625
tensor(308.),0.200592041015625,"[0.2131196368025, 0.0543625927993, 0.9559846460743]",13.797080993652344,9.584426879882812e-05
